Name,URL,X Handle,Founder X,Dev Rel X,Primitive,Tier,Confidence,Brief,Evidence,API Ready,CLI,Open Source,Metrics,Boilerplate Count,VC Validation,Analyst Mention,Benchmark Winner,X Hype,New in PT3
Zapier,https://zapier.com,zapier,wadefoster,,Workflow Automation,1,Very High,"No-code automation platform connecting 6,000+ apps with triggers, actions, and multi-step workflows.","@fireship_dev viral (12K+ likes): 'Zapier still king for connecting everything'",TRUE,FALSE,FALSE,"12K+ likes; universal automation",0,FALSE,FALSE,FALSE,TRUE,TRUE
Replicate,https://replicate.com,replicate,bfirsh,,AI Model Inference,1,Very High,"Run open-source ML models via API with automatic scaling and pay-per-second billing.","@krunalexplores, @sidi_jeddou_dev: 'run models without infra pain'",TRUE,TRUE,FALSE,"Top AI inference platform",0,FALSE,FALSE,FALSE,TRUE,TRUE
Inngest,https://inngest.com,inngest,itstonyhb,atticjack,Workers & Background Jobs,2,High,"Event-driven serverless functions with automatic retries, scheduling, and step orchestration.","ThoughtWorks 'Trial'; 100M+ daily executions; event-driven functions",TRUE,FALSE,TRUE,"5K+ stars; 100M+ daily",0,FALSE,TRUE,FALSE,FALSE,FALSE
Deepgram,https://deepgram.com,deepgramai,,lukeocodes,Voice & Speech AI,2,High,"Real-time speech-to-text API with industry-leading accuracy and 118ms latency.","118ms TTFT (benchmark winner); +127% YoY Brex; Nova-3: 6.84% WER",TRUE,FALSE,FALSE,"+127% YoY; 118ms latency",0,FALSE,FALSE,TRUE,FALSE,FALSE
ElevenLabs,https://elevenlabs.io,elevenlabsio,,,Voice & Speech AI,2,High,"AI voice synthesis with ultra-realistic TTS, voice cloning, and dubbing in 29 languages.","75ms Flash v2.5 (38x faster than OpenAI TTS); Wing ET30 LATE tier",TRUE,FALSE,FALSE,"Top-10 Brex AI; 75ms TTS",0,TRUE,FALSE,TRUE,FALSE,FALSE
Railway,https://railway.com,Railway,JustJake,,Hosting & Compute,2,High,"Developer-first PaaS with instant deployments, one-click databases, and usage-based pricing.","CLI-first; strong indie adoption; one-click DB deploy; usage-based",TRUE,TRUE,FALSE,"Strong indie adoption",0,FALSE,FALSE,FALSE,FALSE,FALSE
Trigger.dev,https://trigger.dev,triggerdotdev,mattaitken,,Workers & Background Jobs,2,High,"TypeScript-first background jobs with long-running tasks, cron, and managed serverless compute.","ThoughtWorks 'Trial'; 10K+ stars; 'easier Temporal'; managed compute",TRUE,TRUE,TRUE,"10K+ GitHub stars",0,FALSE,TRUE,FALSE,FALSE,FALSE
Turso,https://turso.tech,taborchers,glcst,,Database,2,High,"Edge-native SQLite database with <130ms global latency and embedded replicas.","<130ms edge latency (benchmark winner); ThoughtWorks 'Trial'; Netlify partner",TRUE,TRUE,TRUE,"12K+ stars; <130ms edge",0,FALSE,TRUE,TRUE,FALSE,FALSE
Meilisearch,https://meilisearch.com,meilisearch,,clurquizar,Search,2,High,"Lightning-fast, typo-tolerant search engine with hybrid keyword + vector search support.","54K+ stars; Rust-based; hybrid keyword+vector search; $30/mo Build tier",TRUE,FALSE,TRUE,"54K+ GitHub stars",0,FALSE,FALSE,FALSE,FALSE,FALSE
Sanity,https://sanity.io,sanity_io,even,kmelve,CMS,2,High,"Composable content platform with real-time collaboration, GROQ query language, and customizable studio.","G2 #1 (4 consecutive years); 2/15 boilerplates; Vercel + Netlify partner",TRUE,TRUE,FALSE,"#1 G2 headless CMS",2,FALSE,TRUE,FALSE,FALSE,FALSE
Axiom,https://axiom.co,AxiomFM,njpatel,seiflotfy,Observability,2,High,"Serverless log management with unlimited data retention, zero indexing, and instant queries.","Vercel Marketplace native; developer-first pricing; Theo/t3gg recommended",TRUE,TRUE,FALSE,"Vercel Marketplace partner",0,FALSE,FALSE,FALSE,FALSE,FALSE
Fly.io,https://fly.io,flydotio,mrkurt,,Hosting & Compute,2,High,"Run Docker containers as micro-VMs globally with sub-second deployments and built-in Postgres.","flyctl CLI; globally distributed micro-VMs; container-based",TRUE,TRUE,FALSE,"3K+ stars (flyctl)",0,FALSE,FALSE,FALSE,FALSE,FALSE
Hugging Face,https://huggingface.co,huggingface,julien_c,,AI Model Inference,2,High,"AI model hub with 500K+ models, datasets, Spaces for deployment, and Inference API.","@fireship_dev OSS list; 'playground for open AI'; massive community buzz",TRUE,TRUE,TRUE,"Largest AI model hub",0,TRUE,FALSE,FALSE,TRUE,TRUE
Snyk,https://snyk.io,snyksec,,,Security & Vulnerability,2,High,"Developer security platform scanning code, dependencies, containers, and IaC for vulnerabilities.","DevOps toolkit threads: 'Snyk for DevSecOps'; repeated in indie security discussions",TRUE,TRUE,FALSE,"DevSecOps leader",0,FALSE,FALSE,FALSE,TRUE,TRUE
Appwrite,https://appwrite.io,appwrite,eldadfux,christyjacob4,BaaS / Firebase Alternative,2,High,"Open-source backend platform with auth, database, storage, functions, and realtime out of the box.","@sidi_jeddou_dev (2.8K likes): 'cool backend framework'; 'self-hosted Supabase alt'",TRUE,TRUE,TRUE,"40K+ GitHub stars",0,FALSE,FALSE,FALSE,TRUE,TRUE
Firebase,https://firebase.google.com,Firebase,,,BaaS / Firebase Alternative,2,High,"Google's app development platform with Firestore, Auth, Hosting, Cloud Functions, and Analytics.","@fireship_dev (12K+ likes): 'still undefeated for MVP speed'; Google-backed",TRUE,TRUE,FALSE,"12K+ likes; MVP standard",0,FALSE,FALSE,FALSE,TRUE,TRUE
Firecrawl,https://firecrawl.dev,,ericciarla,nickscamara_,AI Web Scraping,2,High,"Web scraping API that converts websites to clean markdown for LLM ingestion.","@sidi_jeddou_dev viral (2.8K likes): 'best and fastest scraper'",TRUE,FALSE,TRUE,"2.8K likes; fastest scraper",0,FALSE,FALSE,FALSE,TRUE,TRUE
Drizzle ORM,https://orm.drizzle.team,DrizzleORM,_alexblokh,,ORM & Data Access,3,High,"Lightweight TypeScript ORM with SQL-like syntax, zero dependencies, and edge runtime support.","ThoughtWorks 'Trial'; 6/15 boilerplates; edge-optimized (~7kb)",TRUE,TRUE,TRUE,"32K+ stars; 2.3M npm/wk",6,FALSE,TRUE,FALSE,FALSE,FALSE
PlanetScale,https://planetscale.com,planetscale,samlambert,,Database,3,High,"Serverless MySQL platform built on Vitess with database branching and non-blocking schema changes.","~35K QPS (benchmark throughput winner); Vitess-based; database branching",TRUE,TRUE,FALSE,"~35K QPS; branching pioneer",0,FALSE,FALSE,TRUE,FALSE,FALSE
Novu,https://novu.co,novuhq,dimagrossman,pearce_emil,Notifications,3,High,"Open-source notification infrastructure for email, SMS, push, in-app, and chat in one API.","38K+ stars (MIT); unified multi-channel: email, SMS, push, in-app, chat",TRUE,FALSE,TRUE,"38K+ GitHub stars",0,FALSE,FALSE,FALSE,FALSE,FALSE
Render,https://render.com,render,anuraggoel,,Hosting & Compute,3,Medium-High,"Unified cloud platform for web services, static sites, cron jobs, and managed databases.","Bessemer portfolio; Blueprint spec for declarative infra; Heroku replacement",TRUE,FALSE,FALSE,"Heroku migration wave",0,TRUE,FALSE,FALSE,FALSE,FALSE
Qdrant,https://qdrant.tech,qdrant_engine,generall931,,Vector DB & AI Infra,3,Medium-High,"High-performance vector database in Rust with filtering, payload storage, and 2x Pinecone throughput.","326 QPS vs Pinecone 150 QPS (benchmark 2:1 winner); Rust; 1GB free forever",TRUE,FALSE,TRUE,"9K+ stars; 2x Pinecone perf",0,FALSE,FALSE,TRUE,FALSE,FALSE
GrowthBook,https://growthbook.io,growth_book,,,Feature Flags,3,Medium-High,"Open-source feature flagging and A/B testing platform with Bayesian statistics engine.","6K+ stars; Bayesian stats engine; feature flags + A/B testing; self-host or managed",TRUE,FALSE,TRUE,"6K+ GitHub stars",0,FALSE,FALSE,FALSE,FALSE,FALSE
Strapi,https://strapi.io,strapijs,,,CMS,3,Medium-High,"Leading open-source headless CMS with plugin marketplace, REST/GraphQL APIs, and admin panel.","60K+ stars; 350+ plugins; REST + GraphQL + CLI (but 7x slower than Payload)",TRUE,TRUE,TRUE,"60K+ stars; OSS leader",0,FALSE,FALSE,FALSE,FALSE,FALSE
Typesense,https://typesense.org,typesense,jasonbosco,,Search,3,Medium-High,"Fast, typo-tolerant search engine built in C++ with sub-50ms results and easy setup.","24K+ stars; C++; <50ms results; free self-hosted; managed from $19/mo",TRUE,FALSE,TRUE,"24K+ GitHub stars",0,FALSE,FALSE,FALSE,FALSE,FALSE
Netlify,https://netlify.com,netlify,biilmann,,Hosting & Compute,3,Medium-High,"Jamstack platform with instant rollbacks, deploy previews, edge functions, and 300+ integrations.","Bessemer Cloud 100 newcomer; rich integration catalog; deploy previews",TRUE,TRUE,FALSE,"Major platform",0,TRUE,TRUE,FALSE,FALSE,FALSE
CockroachDB,https://cockroachlabs.com,CockroachDB,,,Database,3,Medium-High,"Distributed SQL database with PostgreSQL compatibility, automatic sharding, and geo-partitioning.","30K+ stars; PostgreSQL-compatible; distributed by default; vector indexing v25.2",TRUE,TRUE,TRUE,"30K+ GitHub stars",0,FALSE,FALSE,FALSE,FALSE,FALSE
Mintlify,https://mintlify.com,mintlify,handotdev,,Documentation,3,Medium-High,"AI-powered documentation platform with beautiful templates, search, and auto-generated API docs.","@sidi_jeddou_dev viral (2.8K likes): 'I will never build docs again – there's Mintlify'",TRUE,TRUE,FALSE,"2.8K likes; AI-powered docs",0,FALSE,FALSE,FALSE,TRUE,TRUE
Groq,https://groq.com,GroqInc,,,AI Model Inference,3,Medium-High,"Ultra-fast LLM inference on custom LPU chips with OpenAI-compatible API and sub-100ms latency.","Frequent mentions in agentic tool threads for speed; 'Groq = instant reasoning' hype",TRUE,FALSE,FALSE,"Ultra-fast inference",0,FALSE,FALSE,FALSE,TRUE,TRUE
PocketBase,https://pocketbase.io,,,,BaaS / Firebase Alternative,3,Medium-High,"Single-file Go backend with embedded SQLite, auth, realtime subscriptions, and admin UI.","@fireship_dev OSS alternatives; 'lightweight Firebase replacement'; single binary",TRUE,TRUE,TRUE,"35K+ GitHub stars",0,FALSE,FALSE,FALSE,TRUE,TRUE
Exa,https://exa.ai,exaailabs,WilliamBryk,,AI Web Scraping,3,Medium-High,"Semantic search API designed for AI agents with embeddings-based web retrieval.","@sidi_jeddou_dev: 'best search API for agents and modern apps'; semantic search focus",TRUE,FALSE,FALSE,"Best agent search API",0,FALSE,FALSE,FALSE,TRUE,TRUE
n8n,https://n8n.io,n8n_io,janoberhauser,,Workflow Automation,3,Medium-High,"Open-source workflow automation with 400+ integrations, code nodes, and self-hosting option.","OSS Zapier alternative in multiple high-engagement threads; self-hosted option",TRUE,TRUE,TRUE,"40K+ GitHub stars; OSS",0,FALSE,FALSE,FALSE,TRUE,TRUE
LiveKit,https://livekit.io,livekit,davidzhao,,Voice & Speech AI,4,Medium-High,"Open-source WebRTC infrastructure for real-time video, audio, and data with AI agent support.","ThoughtWorks 'Assess'; 12K+ stars; OSS voice/video infra; agent orchestration",TRUE,FALSE,TRUE,"12K+ GitHub stars",0,FALSE,TRUE,FALSE,FALSE,FALSE
Statsig,https://statsig.com,statsig,vijaye,,Feature Flags,4,Medium,"Product experimentation platform with feature gates, A/B tests, and real-time analytics.","Sequoia portfolio; Madrona IA40 enabler; Vercel Marketplace native integration",TRUE,FALSE,FALSE,"Sequoia + Madrona backed",0,TRUE,FALSE,FALSE,FALSE,FALSE
Postmark,https://postmarkapp.com,postmarkapp,,,Transactional Email,4,Medium,"Transactional email API focused on deliverability with 83-99% inbox placement.","Best deliverability benchmark (83-99% inbox rate); 3/15 boilerplates",TRUE,FALSE,FALSE,"83-99% inbox; 3 boilerplates",3,FALSE,FALSE,TRUE,FALSE,FALSE
OpenRouter,https://openrouter.ai,openrouterai,,,Vector DB & AI Infra,4,Medium,"Unified API gateway for 100+ LLMs with automatic fallbacks, cost optimization, and usage tracking.","+1,500% YoY Brex #2 fastest-growing; OpenAI-compatible API; multi-model routing",TRUE,FALSE,FALSE,"+1,500% YoY (Brex)",0,FALSE,FALSE,FALSE,FALSE,FALSE
Pinecone,https://pinecone.io,pinaborvanov,edoliberty,,Vector DB & AI Infra,4,Medium,"Managed vector database for semantic search and RAG with simple API and free starter tier.","Market leader by brand; $130M+ raised; free tier (Qdrant outperforms on perf)",TRUE,FALSE,FALSE,"$130M+ raised",0,FALSE,FALSE,FALSE,FALSE,FALSE
Cloudinary,https://cloudinary.com,cloudinary,,,Storage & Files,4,Medium,"Media management platform with on-the-fly image/video transforms, CDN delivery, and AI features.","Netlify partner; AI-powered transforms; industry standard for media management",TRUE,TRUE,FALSE,"Netlify/Vercel ecosystem",0,FALSE,FALSE,FALSE,FALSE,FALSE
Checkly,https://checklyhq.com,checklyHQ,tim_nolet,,Observability,4,Medium,"Monitoring-as-code platform for API endpoints and browser flows with Playwright tests.","Vercel Marketplace partner; monitors API endpoints and browser flows",TRUE,TRUE,FALSE,"Vercel Marketplace partner",0,FALSE,FALSE,FALSE,FALSE,FALSE
Ably,https://ably.com,ablyrealtime,,,Real-time Messaging,4,Medium,"Enterprise pub/sub infrastructure for real-time messaging with guaranteed delivery and 6M free msgs/mo.","Enterprise pub/sub; REST API + SDKs; free 6M msgs/mo; WebSocket infrastructure",TRUE,FALSE,FALSE,"6M free msgs/mo",0,FALSE,FALSE,FALSE,FALSE,FALSE
Weaviate,https://weaviate.io,weaviate_io,bobvanluijt,,Vector DB & AI Infra,4,Medium,"Open-source vector database with hybrid search, GraphQL API, and multi-modal support.","8K+ stars; >1M Docker pulls/mo; strong hybrid search; REST + GraphQL",TRUE,FALSE,TRUE,"8K+ stars; >1M Docker pulls",0,FALSE,FALSE,FALSE,FALSE,FALSE
AssemblyAI,https://assemblyai.com,AssemblyAI,,,Voice & Speech AI,4,Medium,"Speech-to-text API with speaker diarization, sentiment analysis, and PII redaction built-in.","~8% WER; Slam-1 model; PII detection built-in; sentiment analysis; $50 free",TRUE,FALSE,FALSE,"$50 free credit",0,FALSE,FALSE,FALSE,FALSE,FALSE
Socket,https://socket.dev,SocketSecurity,feross,,Security & Vulnerability,4,Medium,"Supply chain security platform detecting malicious npm/PyPI packages before installation.","Rising in X security threads as lightweight Snyk alternative; supply-chain focus",TRUE,TRUE,FALSE,"Supply-chain security",0,FALSE,FALSE,FALSE,TRUE,TRUE
Jina AI,https://jina.ai,JinaAI_,hxiao,,AI Web Scraping,4,Medium,"Neural search framework for multimodal data with embedding models and RAG components.","Appears in semantic search / RAG discussions; neural search & multimodal",TRUE,FALSE,TRUE,"Neural search leader",0,FALSE,FALSE,FALSE,TRUE,TRUE
Make,https://make.com,make_hq,,,Workflow Automation,4,Medium,"Visual automation platform with advanced data manipulation, branching, and 1,000+ app integrations.","Frequently paired with Zapier in 'power user' threads; advanced automation",TRUE,FALSE,FALSE,"Power user automation",0,FALSE,FALSE,FALSE,TRUE,TRUE
Dependabot,https://github.com/dependabot,dependabot,,,Security & Vulnerability,4,Medium,"GitHub-native automated dependency updates with security alerts and PR auto-generation.","Ubiquitous in GitHub-native stacks; free for most users; dependency security",TRUE,FALSE,FALSE,"GitHub-native; free",0,FALSE,FALSE,FALSE,FALSE,TRUE
Docusaurus,https://docusaurus.io,docusaurus,,sebastienlorber,Documentation,4,Medium,"Meta's open-source documentation framework with MDX support, versioning, and i18n.","Common in 'Mintlify alternative' conversations; Meta-backed; AI plugins emerging",TRUE,TRUE,TRUE,"50K+ GitHub stars",0,FALSE,FALSE,FALSE,FALSE,TRUE
Readme.io,https://readme.com,readme,gkoberger,,Documentation,4,Medium,"Developer hub platform for API documentation with interactive explorer and changelog management.","Mentioned in professional docs threads; API documentation platform",TRUE,FALSE,FALSE,"API docs platform",0,FALSE,FALSE,FALSE,FALSE,TRUE
Doppler,https://doppler.com,DopplerHQ,,,Secrets Management,5,Medium,"Universal secrets manager with environment sync across Vercel, Railway, Netlify, and 20+ platforms.","CLI + Vercel/Railway/Netlify integrations; team secrets sync",TRUE,TRUE,FALSE,"Multi-platform integrations",0,FALSE,FALSE,FALSE,FALSE,FALSE
PagerDuty,https://pagerduty.com,paborduty,,,Incident Management,5,Medium,"Industry-standard incident management with on-call scheduling, escalations, and 700+ integrations.","Bessemer portfolio success; industry standard alerting; Terraform provider",TRUE,TRUE,FALSE,"Industry standard",0,TRUE,FALSE,FALSE,FALSE,FALSE
Knock,https://knock.app,knocklabs,,,Notifications,5,Medium,"Enterprise notification infrastructure with workflow orchestration, batching, and preferences API.","Enterprise-grade workflow orchestration; batching/digests; $250/mo starter",TRUE,FALSE,FALSE,"$250/mo starter",0,FALSE,FALSE,FALSE,FALSE,FALSE
Paddle,https://paddle.com,PaddleHQ,,,Payments,5,Medium,"Merchant of Record handling global tax compliance, subscriptions, and checkout for SaaS.","4/15 boilerplates (Laravel ecosystem default); MoR (tax handling); SaaS-focused",TRUE,FALSE,FALSE,"4 boilerplates; MoR",4,FALSE,FALSE,FALSE,FALSE,FALSE
Temporal,https://temporal.io,temporalio,maborev,,Workers & Background Jobs,5,Medium,"Durable execution platform for long-running workflows with automatic state persistence and retries.","12K+ stars; enterprise durable execution; multi-language; Cloud + self-host",TRUE,TRUE,TRUE,"12K+ GitHub stars",0,FALSE,FALSE,FALSE,FALSE,FALSE
Polar,https://polar.sh,polar_sh,birk,,Payments,5,Medium,"Open-source monetization platform for developers with subscriptions, benefits, and GitHub integration.","2/15 boilerplates; 3K+ stars; developer-first OSS monetization; Next.js adapter",TRUE,FALSE,TRUE,"3K+ stars; 2 boilerplates",2,FALSE,FALSE,FALSE,FALSE,FALSE
UploadThing,https://uploadthing.com,pingdotgg,t3dotgg,,Storage & Files,5,Medium,"Type-safe file uploads for Next.js, Astro, Svelte, and Nuxt with built-in CDN.","T3 ecosystem; 4K+ stars (MIT); Next.js/Astro/Svelte/Nuxt support",TRUE,FALSE,TRUE,"4K+ stars; T3 ecosystem",0,FALSE,FALSE,FALSE,FALSE,FALSE
Loops,https://loops.so,loops_so,frantzfries,,Email Marketing,5,Medium,"API-first email marketing for SaaS with product-led sequences, broadcasts, and transactional.","API-first; product-led email; growing in indie/SaaS community",TRUE,FALSE,FALSE,"Growing indie adoption",0,FALSE,FALSE,FALSE,FALSE,FALSE
Dub,https://dub.co,dubdotco,steventey,,Link Management,5,Medium,"Open-source link management with custom domains, analytics, and API for short URLs.","20K+ stars; OSS; REST API; developer-first short links/analytics",TRUE,FALSE,TRUE,"20K+ GitHub stars",0,FALSE,FALSE,FALSE,FALSE,FALSE
Convex,https://convex.dev,convabordev,,,Reactive Backend,5,Medium,"TypeScript-first backend with real-time sync, automatic caching, and serverless functions.","ThoughtWorks 'Assess'; TypeScript-first; real-time sync; SDK + CLI",TRUE,TRUE,FALSE,"Fast growth",0,FALSE,TRUE,FALSE,FALSE,FALSE
